Entry ID,Pairs of Acession Code(s)
3B3I,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
3BP4,"[['P61769', 'P10619'], ['P10619', 'P01889'], ['P01889', 'P61769']]"
3BP7,"[['P01889', 'P61769'], ['P61769', 'P10619'], ['P10619', 'P01889']]"
3BPL,"[['P05112', 'P24394'], ['P24394', 'P31785'], ['P31785', 'P05112']]"
3BPN,"[['P05112', 'P24394'], ['P24394', 'P78552'], ['P78552', 'P05112']]"
3BPO,"[['P35225', 'P24394'], ['P24394', 'P78552'], ['P78552', 'P35225']]"
3BT1,"[['P00749', 'P04004'], ['P04004', 'Q03405'], ['Q03405', 'P00749']]"
3BT2,"[['P00749', 'P04004'], ['P04004', 'Q03405'], ['Q03405', 'P00749']]"
3BVH,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
3C5J,"[['P01903', 'B8YAC7'], ['B8YAC7', 'Q05639'], ['Q05639', 'P01903']]"
3C5W,"[['P30153', 'P67775'], ['P67775', 'Q9Y570'], ['Q9Y570', 'P30153']]"
3CUQ,"[['Q96H20', 'Q86VN1'], ['Q86VN1', 'Q9BRG1'], ['Q9BRG1', 'Q96H20']]"
3D2U,"[['P61769', 'Q8NHL6'], ['Q8NHL6', 'P60709'], ['P60709', 'P61769']]"
3D3V,"[['P04439', 'P61769'], ['P61769', 'P01850'], ['P01850', 'P04439']]"
3D85,"[['P01857', 'Q9NPF7'], ['Q9NPF7', 'P29460'], ['P29460', 'P01857']]"
3DBH,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
3DBL,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
3DBR,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
3DQV,"[['Q15843', 'Q93034'], ['Q93034', 'P62877'], ['P62877', 'Q15843']]"
3DW8,"[['P30153', 'P63151'], ['P63151', 'P67775'], ['P67775', 'P30153']]"
3DXA,"[['P01889', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P01889']]"
3E1I,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
3EGD,"[['Q15436', 'O95486'], ['O95486', 'O75396'], ['O75396', 'Q15436']]"
3EGX,"[['Q15436', 'O95486'], ['O95486', 'O75396'], ['O75396', 'Q15436']]"
3FEX,"[['Q09161', 'P52298'], ['P52298', 'P52292'], ['P52292', 'Q09161']]"
3FEY,"[['Q09161', 'P52298'], ['P52298', 'P52292'], ['P52292', 'Q09161']]"
3FFC,"[['P01889', 'P61769'], ['P61769', 'P01850'], ['P01850', 'P01889']]"
3FGA,"[['Q13362', 'P67775'], ['P67775', 'Q5FBB7'], ['Q5FBB7', 'Q13362']]"
3G65,"[['Q99638', 'O60671'], ['O60671', 'O60921'], ['O60921', 'Q99638']]"
3GGR,"[['Q99638', 'O60921'], ['O60921', 'O60671'], ['O60671', 'Q99638']]"
3GHG,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
3GSN,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3GZN,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
3H0A,"[['P19793', 'P37231'], ['P37231', 'Q15788'], ['Q15788', 'P19793']]"
3H32,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
3HPJ,"[['P04439', 'P61769'], ['P61769', 'P19544'], ['P19544', 'P04439']]"
3HUS,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
3JVZ,"[['P62837', 'Q96PU5'], ['Q96PU5', 'P0CG48'], ['P0CG48', 'P62837']]"
3JW0,"[['P62837', 'Q96PU5'], ['Q96PU5', 'P0CG48'], ['P0CG48', 'P62837']]"
3KFD,"[['P01137', 'P37173'], ['P37173', 'P36897'], ['P36897', 'P01137']]"
3KLA,"[['P04439', 'P61769'], ['P61769', 'P78358'], ['P78358', 'P04439']]"
3KYC,"[['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0'], ['Q9UBE0', 'Q9UBT2']]"
3KYD,"[['Q9UBE0', 'Q9UBT2'], ['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0']]"
3L6F,"[['P01903', 'P01911'], ['P01911', 'Q16655'], ['Q16655', 'P01903']]"
3LL8,"[['P24588', 'Q08209'], ['Q08209', 'P63098'], ['P63098', 'P24588']]"
3LN4,"[['P01889', 'P61769'], ['P61769', 'P07910'], ['P07910', 'P01889']]"
3LN5,"[['P01889', 'P61769'], ['P61769', 'Q13126'], ['Q13126', 'P01889']]"
3LV3,"[['P01889', 'P61769'], ['P61769', 'Q01668'], ['Q01668', 'P01889']]"
3M0D,"[['Q12933', 'Q13077'], ['Q13077', 'Q13489'], ['Q13489', 'Q12933']]"
3MOP,"[['Q99836', 'Q9NWZ3'], ['Q9NWZ3', 'O43187'], ['O43187', 'Q99836']]"
3MRK,"[['P04439', 'P61769'], ['P61769', 'P02771'], ['P02771', 'P04439']]"
3MRO,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
3MRP,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
3MRQ,"[['P04439', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'P04439']]"
3MRR,"[['P04439', 'P61769'], ['P61769', 'Q92959'], ['Q92959', 'P04439']]"
3MYJ,"[['P04439', 'P61769'], ['P61769', 'P19544'], ['P19544', 'P04439']]"
3NBN,"[['Q92585', 'Q06330'], ['Q06330', 'P46531'], ['P46531', 'Q92585']]"
3O4O,"[['P01584', 'P27930'], ['P27930', 'Q9NPH3'], ['Q9NPH3', 'P01584']]"
3OJ4,"[['P51668', 'P0CG48'], ['P0CG48', 'P21580'], ['P21580', 'P51668']]"
3OJY,"[['P07357', 'P07358'], ['P07358', 'P07360'], ['P07360', 'P07357']]"
3P4F,"[['P61964', 'Q15291'], ['Q15291', 'Q03164'], ['Q03164', 'P61964']]"
3P56,"[['O75792', 'Q5TBB1'], ['Q5TBB1', 'Q8TDP1'], ['Q8TDP1', 'O75792']]"
3PDO,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
3PGC,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
3PGD,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
3PUF,"[['O75792', 'Q5TBB1'], ['Q5TBB1', 'Q8TDP1'], ['Q8TDP1', 'O75792']]"
3PWP,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3QAZ,"[['P60568', 'P14784'], ['P14784', 'P31785'], ['P31785', 'P60568']]"
3QDG,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3QDJ,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3QDM,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3QEQ,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
3QXA,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
3QXD,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
3QZW,"[['P04439', 'P61769'], ['P61769', 'P01732'], ['P01732', 'P04439']]"
3R45,"[['P49450', 'P62805'], ['P62805', 'Q8NCD3'], ['Q8NCD3', 'P49450']]"
3RK3,"[['P63027', 'P60880'], ['P60880', 'O14810'], ['O14810', 'P63027']]"
3RL0,"[['P63027', 'P60880'], ['P60880', 'O14810'], ['O14810', 'P63027']]"
3RPG,"[['P61077', 'P35226'], ['P35226', 'Q99496'], ['Q99496', 'P61077']]"
3S4S,"[['P01903', 'P01911'], ['P01911', 'P01730'], ['P01730', 'P01903']]"
3SDX,"[['P15813', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P15813']]"
3SE3,"[['P17181', 'P01563'], ['P01563', 'P48551'], ['P48551', 'P17181']]"
3SE4,"[['P17181', 'P05000'], ['P05000', 'P48551'], ['P48551', 'P17181']]"
3SJV,"[['P01889', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P01889']]"
3TDU,"[['Q96GG9', 'Q13616'], ['Q13616', 'P61081'], ['P61081', 'Q96GG9']]"
3TDZ,"[['Q96GG9', 'Q13616'], ['Q13616', 'P61081'], ['P61081', 'Q96GG9']]"
3TQ7,"[['Q15691', 'Q9UPY8'], ['Q9UPY8', 'Q14203'], ['Q14203', 'Q15691']]"
3U88,"[['O00255', 'Q03164'], ['Q03164', 'O75475'], ['O75475', 'O00255']]"
3UTQ,"[['P04439', 'P61769'], ['P61769', 'P01308'], ['P01308', 'P04439']]"
3UTS,"[['P04439', 'P61769'], ['P61769', 'P01308'], ['P01308', 'P04439']]"
3UTT,"[['P04439', 'P61769'], ['P61769', 'P01308'], ['P01308', 'P04439']]"
3V5D,"[['P04439', 'P61769'], ['P61769', 'E0YFW1'], ['E0YFW1', 'P04439']]"
3V5H,"[['P04439', 'P61769'], ['P61769', 'E0YFW1'], ['E0YFW1', 'P04439']]"
3V5K,"[['P04439', 'P61769'], ['P61769', 'E0YFW1'], ['E0YFW1', 'P04439']]"
3V79,"[['P46531', 'Q06330'], ['Q06330', 'Q92585'], ['Q92585', 'P46531']]"
3VON,"[['Q96FW1', 'Q15819'], ['Q15819', 'P61088'], ['P61088', 'Q96FW1']]"
3VU7,"[['Q9UBZ9', 'Q9UI95'], ['Q9UI95', 'O60673'], ['O60673', 'Q9UBZ9']]"
3WO4,"[['Q14116', 'Q13478'], ['Q13478', 'O95256'], ['O95256', 'Q14116']]"
3X11,"[['P01889', 'P61769'], ['P61769', 'P01834'], ['P01834', 'P01889']]"
3X12,"[['P01889', 'P61769'], ['P61769', 'P01834'], ['P01834', 'P01889']]"
3X1U,"[['P68431', 'P62805'], ['P62805', 'P33778'], ['P33778', 'P68431']]"
3X1V,"[['P68431', 'P62805'], ['P62805', 'P04908'], ['P04908', 'P68431']]"
3ZJY,"[['P62826', 'O94829'], ['O94829', 'P47813'], ['P47813', 'P62826']]"
3ZKJ,"[['Q96DX5', 'Q15369'], ['Q15369', 'Q15370'], ['Q15370', 'Q96DX5']]"
3ZMS,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'Q01101'], ['Q01101', 'O60341']]"
3ZNG,"[['Q96DX5', 'Q15369'], ['Q15369', 'Q15370'], ['Q15370', 'Q96DX5']]"
3ZRC,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
3ZRF,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
3ZTC,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
3ZTD,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
3ZUN,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4A4B,"[['P22681', 'P62837'], ['P62837', 'P43403'], ['P43403', 'P22681']]"
4A4C,"[['P22681', 'P43403'], ['P43403', 'P62837'], ['P62837', 'P22681']]"
4AEN,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
4AJ5,"[['Q8IX90', 'Q96BD8'], ['Q96BD8', 'Q8WVK7'], ['Q8WVK7', 'Q8IX90']]"
4AUQ,"[['P62837', 'P0CG48'], ['P0CG48', 'Q96CA5'], ['Q96CA5', 'P62837']]"
4AWJ,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4AWL,"[['P23511', 'P25208'], ['P25208', 'Q13952'], ['Q13952', 'P23511']]"
4AY9,"[['P01215', 'P01225'], ['P01225', 'P23945'], ['P23945', 'P01215']]"
4B95,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4B9K,"[['P40337', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'P40337']]"
4BKS,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4BKT,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
4BWS,"[['P83876', 'O60828'], ['O60828', 'O95400'], ['O95400', 'P83876']]"
4C0D,"[['A5YKK6', 'Q9NZN8'], ['Q9NZN8', 'O75175'], ['O75175', 'A5YKK6']]"
4CAY,"[['P0C0S5', 'P06899'], ['P06899', 'Q9BTT0'], ['Q9BTT0', 'P0C0S5']]"
4CFE,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
4CFF,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
4CY2,"[['P61964', 'Q9H9L4'], ['Q9H9L4', 'Q7Z3B3'], ['Q7Z3B3', 'P61964']]"
4D0M,"[['Q9UBF8', 'P62491'], ['P62491', 'O75154'], ['O75154', 'Q9UBF8']]"
4D9R,"[['P00746', 'P01834'], ['P01834', 'P01857'], ['P01857', 'P00746']]"
4DAY,"[['Q9H9A7', 'Q96E14'], ['Q96E14', 'Q8IYD8'], ['Q8IYD8', 'Q9H9A7']]"
4DCK,"[['Q14524', 'P0DP23'], ['P0DP23', 'Q92913'], ['Q92913', 'Q14524']]"
4DEP,"[['P01584', 'P14778'], ['P14778', 'Q9NPH3'], ['Q9NPH3', 'P01584']]"
